Month,Year,CPI_T3,Gold_T3,Interest_T3,CPI_T2,Gold_T2,Interest_T2,CPI_T1,Gold_T1,Interest_T1,CPI_Target
4,2020,103.97,45.45,4.09,104.42,45.48,4.29,104.85,45.69,4.01,104.29
5,2020,104.42,45.48,4.29,104.85,45.69,4.01,104.29,45.45,4.25,104.6
6,2020,104.85,45.69,4.01,104.29,45.45,4.25,104.6,44.26,4.28,104.99
7,2020,104.29,45.45,4.25,104.6,44.26,4.28,104.99,43.5,4.31,105.22
8,2020,104.6,44.26,4.28,104.99,43.5,4.31,105.22,42.43,4.4,105.7
9,2020,104.99,43.5,4.31,105.22,42.43,4.4,105.7,44.03,4.69,105.22
10,2020,105.22,42.43,4.4,105.7,44.03,4.69,105.22,43.2,4.83,105.67
11,2020,105.7,44.03,4.69,105.22,43.2,4.83,105.67,44.12,5.96,106.16
12,2020,105.22,43.2,4.83,105.67,44.12,5.96,106.16,45.78,6.23,106.68
1,2021,105.67,44.12,5.96,106.16,45.78,6.23,106.68,45.7,6.44,106.5
2,2021,106.16,45.78,6.23,106.68,45.7,6.44,106.5,45.72,6.27,106.74
3,2021,106.68,45.7,6.44,106.5,45.72,6.27,106.74,48.8,5.69,107.28
4,2021,106.5,45.72,6.27,106.74,48.8,5.69,107.28,47.16,5.53,108.03
5,2021,106.74,48.8,5.69,107.28,47.16,5.53,108.03,47.54,5.18,107.87
6,2021,107.28,47.16,5.53,108.03,47.54,5.18,107.87,48.65,4.95,108.18
7,2021,108.03,47.54,5.18,107.87,48.65,4.95,108.18,49.01,4.73,109.45
8,2021,107.87,48.65,4.95,108.18,49.01,4.73,109.45,50.07,4.1,109.74
9,2021,108.18,49.01,4.73,109.45,50.07,4.1,109.74,49.58,4.34,109.54
10,2021,109.45,50.07,4.1,109.74,49.58,4.34,109.54,49.74,4.47,110.18
11,2021,109.74,49.58,4.34,109.54,49.74,4.47,110.18,48.6,4.35,110.14
12,2021,109.54,49.74,4.47,110.18,48.6,4.35,110.14,48.11,4.86,110.54
1,2022,110.18,48.6,4.35,110.14,48.11,4.86,110.54,46.9,5.11,111.8
2,2022,110.14,48.11,4.86,110.54,46.9,5.11,111.8,48.44,4.64,111.76
3,2022,110.54,46.9,5.11,111.8,48.44,4.64,111.76,50.26,4.41,112.18
4,2022,111.8,48.44,4.64,111.76,50.26,4.41,112.18,51.49,4.11,112.35
5,2022,111.76,50.26,4.41,112.18,51.49,4.11,112.35,47.9,3.78,112.43
6,2022,112.18,51.49,4.11,112.35,47.9,3.78,112.43,46.7,4.25,111.91
7,2022,112.35,47.9,3.78,112.43,46.7,4.25,111.91,46.47,4.27,112.83
8,2022,112.43,46.7,4.25,111.91,46.47,4.27,112.83,45.05,4.6,113.04
9,2022,111.91,46.47,4.27,112.83,45.05,4.6,113.04,44.17,4.72,113.34
10,2022,112.83,45.05,4.6,113.04,44.17,4.72,113.34,43.75,4.72,113.35
11,2022,113.04,44.17,4.72,113.34,43.75,4.72,113.35,44.19,4.9,114.34
12,2022,113.34,43.75,4.72,113.35,44.19,4.9,114.34,43.0,5.52,113.56
1,2023,113.35,44.19,4.9,114.34,43.0,5.52,113.56,43.12,5.67,113.9
2,2023,114.34,43.0,5.52,113.56,43.12,5.67,113.9,42.68,5.59,113.86
3,2023,113.56,43.12,5.67,113.9,42.68,5.59,113.86,42.27,5.83,114.23
4,2023,113.9,42.68,5.59,113.86,42.27,5.83,114.23,41.74,6.08,114.59
5,2023,113.86,42.27,5.83,114.23,41.74,6.08,114.59,43.01,6.24,114.37
6,2023,114.23,41.74,6.08,114.59,43.01,6.24,114.37,42.64,6.45,114.88
7,2023,114.59,43.01,6.24,114.37,42.64,6.45,114.88,42.91,6.46,115.72
8,2023,114.37,42.64,6.45,114.88,42.91,6.46,115.72,42.5,6.61,115.82
9,2023,114.88,42.91,6.46,115.72,42.5,6.61,115.82,42.54,6.92,116.43
10,2023,115.72,42.5,6.61,115.82,42.54,6.92,116.43,43.82,7.29,116.64
11,2023,115.82,42.54,6.92,116.43,43.82,7.29,116.64,44.94,7.18,117.0
12,2023,116.43,43.82,7.29,116.64,44.94,7.18,117.0,45.08,7.19,117.5
